,STATE,Candidate_Name,Candidate_Votes,Apportionment_pop,Num_Reps_Capped,State_Vote_Total,CapEC_NE_VotePop,CapEC_NE_CanVotes,CapEC_NE_CanRemainder,CapEC_Full_VotePop,CapEC_Full_CanVotes,CapEC_Full_CanRemainder,Num_Reps_Uncapped,UnCapEC_NE_VotePop,UnCapEC_NE_CanVotes,UnCapEC_NE_CanRemainder,UnCapEC_Full_VotePop,UnCapEC_Full_CanVotes,UnCapEC_Full_CanRemainder
0,Alabama,Trump; Donald J.,1318255,4802982.0,7.0,2123372,303339.0,4.0,104899.0,235931.0,5.0,138600.0,160.0,13272.0,99.0,4327.0,13108.0,100.0,7455.0
1,Alabama,Clinton; Hillary,729547,4802982.0,7.0,2123372,303339.0,2.0,122869.0,235931.0,3.0,21754.0,160.0,13272.0,54.0,12859.0,13108.0,55.0,8607.0
2,Alabama,Johnson; Gary,44467,4802982.0,7.0,2123372,303339.0,0.0,44467.0,235931.0,0.0,44467.0,160.0,13272.0,3.0,4651.0,13108.0,3.0,5143.0
3,Alabama,Scattered;,21712,4802982.0,7.0,2123372,303339.0,0.0,21712.0,235931.0,0.0,21712.0,160.0,13272.0,1.0,8440.0,13108.0,1.0,8604.0
4,Alabama,Stein; Jill,9391,4802982.0,7.0,2123372,303339.0,0.0,9391.0,235931.0,0.0,9391.0,160.0,13272.0,0.0,9391.0,13108.0,0.0,9391.0
5,Alaska,Trump; Donald J.,163387,721523.0,1.0,318608,318608.0,0.0,163387.0,106203.0,1.0,57184.0,24.0,13276.0,12.0,4075.0,12255.0,13.0,4072.0
6,Alaska,Clinton; Hillary,116454,721523.0,1.0,318608,318608.0,0.0,116454.0,106203.0,1.0,10251.0,24.0,13276.0,8.0,10246.0,12255.0,9.0,6159.0
7,Alaska,Johnson; Gary,18725,721523.0,1.0,318608,318608.0,0.0,18725.0,106203.0,0.0,18725.0,24.0,13276.0,1.0,5449.0,12255.0,1.0,6470.0
8,Alaska,Scattered,9201,721523.0,1.0,318608,318608.0,0.0,9201.0,106203.0,0.0,9201.0,24.0,13276.0,0.0,9201.0,12255.0,0.0,9201.0
9,Alaska,Stein; Jill,5735,721523.0,1.0,318608,318608.0,0.0,5735.0,106203.0,0.0,5735.0,24.0,13276.0,0.0,5735.0,12255.0,0.0,5735.0
10,Alaska,Castle; Darrell L.,3866,721523.0,1.0,318608,318608.0,0.0,3866.0,106203.0,0.0,3866.0,24.0,13276.0,0.0,3866.0,12255.0,0.0,3866.0
11,Alaska,De La Fuente; Roque,1240,721523.0,1.0,318608,318608.0,0.0,1240.0,106203.0,0.0,1240.0,24.0,13276.0,0.0,1240.0,12255.0,0.0,1240.0
12,Arizona,Trump; Donald J.,1252401,6412700.0,9.0,2573165,285908.0,4.0,108769.0,233925.0,5.0,82776.0,213.0,12081.0,103.0,8058.0,11969.0,104.0,7625.0
13,Arizona,Clinton; Hillary,1161167,6412700.0,9.0,2573165,285908.0,4.0,17535.0,233925.0,4.0,225467.0,213.0,12081.0,96.0,1391.0,11969.0,97.0,174.0
14,Arizona,Johnson; Gary,106327,6412700.0,9.0,2573165,285908.0,0.0,106327.0,233925.0,0.0,106327.0,213.0,12081.0,8.0,9679.0,11969.0,8.0,10575.0
15,Arizona,Stein; Jill,34345,6412700.0,9.0,2573165,285908.0,0.0,34345.0,233925.0,0.0,34345.0,213.0,12081.0,2.0,10183.0,11969.0,2.0,10407.0
16,Arizona,McMullin; Evan,17449,6412700.0,9.0,2573165,285908.0,0.0,17449.0,233925.0,0.0,17449.0,213.0,12081.0,1.0,5368.0,11969.0,1.0,5480.0
17,Arizona,Castle; Darrell,1058,6412700.0,9.0,2573165,285908.0,0.0,1058.0,233925.0,0.0,1058.0,213.0,12081.0,0.0,1058.0,11969.0,0.0,1058.0
18,Arizona,Hoefling; Tom,85,6412700.0,9.0,2573165,285908.0,0.0,85.0,233925.0,0.0,85.0,213.0,12081.0,0.0,85.0,11969.0,0.0,85.0
19,Arizona,Smith; Mike,62,6412700.0,9.0,2573165,285908.0,0.0,62.0,233925.0,0.0,62.0,213.0,12081.0,0.0,62.0,11969.0,0.0,62.0
