,STATE,Candidate_Name,Candidate_Votes,Apportionment_pop,Num_Reps_Capped,State_Vote_Total,CapEC_NE_VotePop,CapEC_NE_CanVotes,CapEC_NE_CanRemainder,CapEC_Full_VotePop,CapEC_Full_CanVotes,CapEC_Full_CanRemainder,Num_Reps_Uncapped,UnCapEC_NE_VotePop,UnCapEC_NE_CanVotes,UnCapEC_NE_CanRemainder,UnCapEC_Full_VotePop,UnCapEC_Full_CanVotes,UnCapEC_Full_CanRemainder
0,Alabama,McCain; John,1266546,4461130.0,7.0,2099819,299974.14285714284,4.0,66649.42857142864,233313.22222222222,5.0,99979.8888888889,148.0,14187.966216216217,89.0,3817.006756756713,13998.793333333333,90.0,6654.600000000024
1,Alabama,Obama; Barack,813479,4461130.0,7.0,2099819,299974.14285714284,2.0,213530.71428571432,233313.22222222222,3.0,113539.33333333334,148.0,14187.966216216217,57.0,4764.925675675648,13998.793333333333,58.0,1548.9866666666821
2,Alabama,Nader; Ralph,6788,4461130.0,7.0,2099819,299974.14285714284,0.0,6788.0,233313.22222222222,0.0,6788.0,148.0,14187.966216216217,0.0,6788.0,13998.793333333333,0.0,6788.0
3,Alabama,Barr; Bob,4991,4461130.0,7.0,2099819,299974.14285714284,0.0,4991.0,233313.22222222222,0.0,4991.0,148.0,14187.966216216217,0.0,4991.0,13998.793333333333,0.0,4991.0
4,Alabama,Baldwin; Chuck,4310,4461130.0,7.0,2099819,299974.14285714284,0.0,4310.0,233313.22222222222,0.0,4310.0,148.0,14187.966216216217,0.0,4310.0,13998.793333333333,0.0,4310.0
5,Alabama,Scattered,3705,4461130.0,7.0,2099819,299974.14285714284,0.0,3705.0,233313.22222222222,0.0,3705.0,148.0,14187.966216216217,0.0,3705.0,13998.793333333333,0.0,3705.0
6,Alaska,McCain; John,193841,628933.0,1.0,326197,326197.0,0.0,193841.0,108732.33333333333,1.0,85108.66666666667,20.0,16309.85,11.0,14432.649999999996,14827.136363636364,13.0,1088.2272727272684
7,Alaska,Obama; Barack,123594,628933.0,1.0,326197,326197.0,0.0,123594.0,108732.33333333333,1.0,14861.666666666672,20.0,16309.85,7.0,9425.049999999997,14827.136363636364,8.0,4976.909090909088
8,Alaska,Nader; Ralph,3783,628933.0,1.0,326197,326197.0,0.0,3783.0,108732.33333333333,0.0,3783.0,20.0,16309.85,0.0,3783.0,14827.136363636364,0.0,3783.0
9,Alaska,Scattered,1730,628933.0,1.0,326197,326197.0,0.0,1730.0,108732.33333333333,0.0,1730.0,20.0,16309.85,0.0,1730.0,14827.136363636364,0.0,1730.0
