,STATE,FEC_ID,Candidate_Name,Candidate_Votes,Apportionment_pop,Num_Reps_Capped,State_Vote_Total,CapEC_NE_VotePop,CapEC_NE_CanVotes,CapEC_NE_CanRemainder,CapEC_Full_VotePop,CapEC_Full_CanVotes,CapEC_Full_CanRemainder,Num_Reps_Uncapped,UnCapEC_NE_VotePop,UnCapEC_NE_CanVotes,UnCapEC_NE_CanRemainder,UnCapEC_Full_VotePop,UnCapEC_Full_CanVotes,UnCapEC_Full_CanRemainder
0,Alabama,P80003353,Romney; Mitt,1255925,4802982.0,7.0,2074338,296334.0,4.0,70589.0,230482.0,5.0,103515.0,160.0,12964.6125,96.0,11322.20000000007,12804.555555555555,98.0,1078.5555555556348
1,Alabama,P80003338,Obama; Barack,795696,4802982.0,7.0,2074338,296334.0,2.0,203028.0,230482.0,3.0,104250.0,160.0,12964.6125,61.0,4854.637500000044,12804.555555555555,62.0,1813.5555555556057
2,Alabama,P20002671,Johnson; Gary,12328,4802982.0,7.0,2074338,296334.0,0.0,12328.0,230482.0,0.0,12328.0,160.0,12964.6125,0.0,12328.0,12804.555555555555,0.0,12328.0
3,Alabama,n/a,Scattered,4011,4802982.0,7.0,2074338,296334.0,0.0,4011.0,230482.0,0.0,4011.0,160.0,12964.6125,0.0,4011.0,12804.555555555555,0.0,4011.0
4,Alabama,P20003984,Stein; Jill,3397,4802982.0,7.0,2074338,296334.0,0.0,3397.0,230482.0,0.0,3397.0,160.0,12964.6125,0.0,3397.0,12804.555555555555,0.0,3397.0
5,Alabama,P20004685,Goode; Virgil H.; Jr.,2981,4802982.0,7.0,2074338,296334.0,0.0,2981.0,230482.0,0.0,2981.0,160.0,12964.6125,0.0,2981.0,12804.555555555555,0.0,2981.0
6,Alaska,P80003353,Romney; Mitt,164676,721523.0,1.0,300495,300495.0,0.0,164676.0,100165.0,1.0,64511.0,24.0,12520.625,13.0,1907.875,11557.5,14.0,2871.0
7,Alaska,P80003338,Obama; Barack,122640,721523.0,1.0,300495,300495.0,0.0,122640.0,100165.0,1.0,22475.0,24.0,12520.625,9.0,9954.375,11557.5,10.0,7065.0
8,Alaska,P20002671,Johnson; Gary,7392,721523.0,1.0,300495,300495.0,0.0,7392.0,100165.0,0.0,7392.0,24.0,12520.625,0.0,7392.0,11557.5,0.0,7392.0
9,Alaska,P20003984,Stein; Jill,2917,721523.0,1.0,300495,300495.0,0.0,2917.0,100165.0,0.0,2917.0,24.0,12520.625,0.0,2917.0,11557.5,0.0,2917.0
