,STATE,FEC_ID,Candidate_Name,Candidate_Votes,Capped_Num_State_EC_Votes,UnCapped_Num_State_EC_Votes,Capped_EC_Standard,Capped_EC_NE_Candidate_Vote,Capped_EC_Full_Candidate_Vote,UnCapped_EC_Standard,UnCapped_EC_NE_Candidate_Vote,UnCapped_EC_Full_Candidate_Vote
0,Alabama,P80001571,Trump; Donald J.,1441170,9.0,162.0,9.0,6.0,6.0,162.0,101.0,100.0
1,Alabama,P80000722,Biden; Joseph R.,849624,9.0,162.0,0.0,3.0,3.0,0.0,59.0,59.0
2,Alabama,P00013524,Jorgensen; Jo,25176,9.0,162.0,0.0,0.0,0.0,0.0,2.0,2.0
3,Alabama,n/a,Scattered,7312,9.0,162.0,0.0,0.0,0.0,0.0,0.0,1.0
4,Alaska,P80001571,Trump; Donald J.,189951,3.0,26.0,3.0,3.0,2.0,26.0,15.0,14.0
5,Alaska,P80000722,Biden; Joseph R.; Jr.,153778,3.0,26.0,0.0,0.0,1.0,0.0,10.0,11.0
6,Alaska,P00013524,Jorgensen; Jo,8897,3.0,26.0,0.0,0.0,0.0,0.0,1.0,1.0
7,Alaska,P00003418,"""""""Janos; James G. """"""""Jesse Ventura""""""""""""""",2673,3.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Alaska,n/a,Scattered,1961,3.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Alaska,P00014209,Blankenship; Don,1127,3.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0
10,Alaska,P00016550,Pierce; Brock,825,3.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0
11,Alaska,P60016342,"""""""De La Fuente; Roque """"""""Rocky""""""""""""""",318,3.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Arizona,P80000722,Biden; Joseph,1672143,11.0,215.0,11.0,7.0,6.0,215.0,107.0,106.0
13,Arizona,P80001571,Trump; Donald J.,1661686,11.0,215.0,0.0,4.0,5.0,0.0,105.0,106.0
14,Arizona,P00013524,Jorgensen; Jo,51465,11.0,215.0,0.0,0.0,0.0,0.0,3.0,3.0
15,Arizona,P00012211,Hawkins; Howie,1557,11.0,215.0,0.0,0.0,0.0,0.0,0.0,0.0
16,Arizona,P00015537,Simmons; Jade,236,11.0,215.0,0.0,0.0,0.0,0.0,0.0,0.0
17,Arizona,P80005572,La Riva; Gloria,190,11.0,215.0,0.0,0.0,0.0,0.0,0.0,0.0
