,STATE,FEC_ID,Candidate_Name,Candidate_Votes,Capped_Num_State_EC_Votes,UnCapped_Num_State_EC_Votes,Capped_EC_Standard,Capped_EC_NE_Candidate_Vote,Capped_EC_Full_Candidate_Vote,UnCapped_EC_Standard,UnCapped_EC_NE_Candidate_Vote,UnCapped_EC_Full_Candidate_Vote
0,Alabama,P80003353,Romney; Mitt,1255925,9.0,162.0,9.0,6.0,5.0,162.0,99.0,98.0
1,Alabama,P80003338,Obama; Barack,795696,9.0,162.0,0.0,3.0,4.0,0.0,62.0,62.0
2,Alabama,P20002671,Johnson; Gary,12328,9.0,162.0,0.0,0.0,0.0,0.0,1.0,1.0
3,Alabama,n/a,Scattered,4011,9.0,162.0,0.0,0.0,0.0,0.0,0.0,1.0
4,Alabama,P20003984,Stein; Jill,3397,9.0,162.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Alabama,P20004685,Goode; Virgil H.; Jr.,2981,9.0,162.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Alaska,P80003353,Romney; Mitt,164676,3.0,26.0,3.0,3.0,2.0,26.0,15.0,14.0
7,Alaska,P80003338,Obama; Barack,122640,3.0,26.0,0.0,0.0,1.0,0.0,10.0,11.0
8,Alaska,P20002671,Johnson; Gary,7392,3.0,26.0,0.0,0.0,0.0,0.0,1.0,1.0
9,Alaska,P20003984,Stein; Jill,2917,3.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0
10,Alaska,n/a,Scattered,2870,3.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0
11,Arizona,P80003353,Romney; Mitt,1233654,11.0,215.0,11.0,7.0,6.0,215.0,116.0,115.0
12,Arizona,P80003338,Obama; Barack,1025232,11.0,215.0,0.0,4.0,5.0,0.0,95.0,96.0
13,Arizona,P20002671,Johnson; Gary,32100,11.0,215.0,0.0,0.0,0.0,0.0,3.0,3.0
14,Arizona,P20003984,Stein; Jill,7816,11.0,215.0,0.0,0.0,0.0,0.0,1.0,1.0
15,Arizona,P20004685,Goode; Virgil,289,11.0,215.0,0.0,0.0,0.0,0.0,0.0,0.0
16,Arizona,P20004263,"""""""Anderson; Ross C. """"""""Rocky""""""""""""""",119,11.0,215.0,0.0,0.0,0.0,0.0,0.0,0.0
17,Arizona,P20003208,Reed; Jill,17,11.0,215.0,0.0,0.0,0.0,0.0,0.0,0.0
18,Arizona,P20005245,Christensen; Will,14,11.0,215.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Arizona,P20002218,Knill; Dennis,7,11.0,215.0,0.0,0.0,0.0,0.0,0.0,0.0
20,Arizona,P20002630,"""""""Tittle; Sheila """"""""Samm""""""""""""""",6,11.0,215.0,0.0,0.0,0.0,0.0,0.0,0.0
21,Arkansas,P80003353,Romney; Mitt,647744,6.0,99.0,6.0,4.0,4.0,99.0,61.0,60.0
22,Arkansas,P80003338,Obama; Barack,394409,6.0,99.0,0.0,2.0,2.0,0.0,36.0,37.0
23,Arkansas,P20002671,Johnson; Gary,16276,6.0,99.0,0.0,0.0,0.0,0.0,1.0,1.0
24,Arkansas,P20003984,Stein; Jill,9305,6.0,99.0,0.0,0.0,0.0,0.0,1.0,1.0
25,Arkansas,P20004636,Lindsay; Peta,1734,6.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0
26,California,P80003338,Obama; Barack,7854285,55.0,1246.0,55.0,34.0,33.0,1246.0,751.0,751.0
27,California,P80003353,Romney; Mitt,4839958,55.0,1246.0,0.0,20.0,21.0,0.0,462.0,462.0
28,California,P20002671,Johnson; Gary,143221,55.0,1246.0,0.0,1.0,1.0,0.0,14.0,14.0
29,California,P20003984,Stein; Jill,85638,55.0,1246.0,0.0,0.0,0.0,0.0,8.0,8.0
30,California,P20002804,Barr; Roseanne,53824,55.0,1246.0,0.0,0.0,0.0,0.0,5.0,5.0
31,California,P20005260,Hoefling; Thomas,38372,55.0,1246.0,0.0,0.0,0.0,0.0,4.0,4.0
32,California,P80000748,Paul; Ron,21461,55.0,1246.0,0.0,0.0,0.0,0.0,2.0,2.0
33,California,P20004263,"""""""Anderson; Ross C. """"""""Rocky""""""""""""""",992,55.0,1246.0,0.0,0.0,0.0,0.0,0.0,0.0
34,California,P20004685,Goode; Virgil,503,55.0,1246.0,0.0,0.0,0.0,0.0,0.0,0.0
35,California,P20003968,Alexander; Stewart,82,55.0,1246.0,0.0,0.0,0.0,0.0,0.0,0.0
36,California,P20004677,White; Jerry,79,55.0,1246.0,0.0,0.0,0.0,0.0,0.0,0.0
37,California,P60004454,Harris; James,72,55.0,1246.0,0.0,0.0,0.0,0.0,0.0,0.0
38,California,P20004651,Durham; Stephen,54,55.0,1246.0,0.0,0.0,0.0,0.0,0.0,0.0
39,California,P20002630,"""""""Tittle; Sheila """"""""Samm""""""""""""""",6,55.0,1246.0,0.0,0.0,0.0,0.0,0.0,0.0
40,Colorado,P80003338,Obama; Barack,1323102,9.0,170.0,9.0,6.0,5.0,170.0,89.0,88.0
41,Colorado,P80003353,Romney; Mitt,1185243,9.0,170.0,0.0,3.0,4.0,0.0,78.0,79.0
42,Colorado,P20002671,Johnson; Gary,35545,9.0,170.0,0.0,0.0,0.0,0.0,2.0,2.0
43,Colorado,P20003984,Stein; Jill,7508,9.0,170.0,0.0,0.0,0.0,0.0,1.0,1.0
44,Colorado,P20004685,Goode; Virgil H.; Jr.,6234,9.0,170.0,0.0,0.0,0.0,0.0,0.0,0.0
45,Colorado,P20002804,Barr; Roseanne,5059,9.0,170.0,0.0,0.0,0.0,0.0,0.0,0.0
46,Colorado,P20003208,Reed; Jill,2589,9.0,170.0,0.0,0.0,0.0,0.0,0.0,0.0
47,Colorado,P20004263,"""""""Anderson; Ross C. """"""""Rocky""""""""""""""",1260,9.0,170.0,0.0,0.0,0.0,0.0,0.0,0.0
48,Colorado,P20002630,"""""""Tittle; Sheila """"""""Samm""""""""""""""",792,9.0,170.0,0.0,0.0,0.0,0.0,0.0,0.0
49,Colorado,P20005260,Hoefling; Tom,679,9.0,170.0,0.0,0.0,0.0,0.0,0.0,0.0
50,Colorado,P80005572,La Riva; Gloria,317,9.0,170.0,0.0,0.0,0.0,0.0,0.0,0.0
51,Colorado,P20003968,Alexander; Stewart,308,9.0,170.0,0.0,0.0,0.0,0.0,0.0,0.0
52,Colorado,P20004693,Miller; Merlin,266,9.0,170.0,0.0,0.0,0.0,0.0,0.0,0.0
53,Colorado,P80005655,Stevens; Thomas Robert,235,9.0,170.0,0.0,0.0,0.0,0.0,0.0,0.0
54,Colorado,P60004454,Harris; James,192,9.0,170.0,0.0,0.0,0.0,0.0,0.0,0.0
55,Colorado,P20004677,White; Jerry,189,9.0,170.0,0.0,0.0,0.0,0.0,0.0,0.0
56,Colorado,P20002424,Terry; Randall,4,9.0,170.0,0.0,0.0,0.0,0.0,0.0,0.0
57,Connecticut,P80003338,Obama; Barack,905083,7.0,121.0,7.0,5.0,4.0,121.0,71.0,70.0
58,Connecticut,P80003353,Romney; Mitt,634892,7.0,121.0,0.0,2.0,3.0,0.0,49.0,49.0
